Size,Zeep Sort,Bubble Sort,Insertion Sort,Merge Sort,Quick Sort
174,0.006264017,0.030972082,0.006070683,0.008390689,0.006302684
175,0.006455627,0.032822587,0.00630007,0.008127868,0.006144513
176,0.006648676,0.031718098,0.006335797,0.00817396,0.006257577
177,0.006214601,0.03229232,0.006371932,0.008456577,0.006214601
178,0.006328864,0.032356314,0.006526641,0.00850441,0.006526641
179,0.006722622,0.03261864,0.006364613,0.008512669,0.006444171
180,0.0066,0.03324,0.00668,0.00892,0.00636
181,0.00655619,0.03330384,0.006636634,0.008808624,0.006475746
182,0.006673407,0.033690598,0.006552073,0.008695652,0.006552073
183,0.006628711,0.034038227,0.006710045,0.008743391,0.006669378
184,0.006787701,0.0343474,0.00674681,0.008995747,0.006501472
185,0.006742035,0.034655705,0.006865365,0.008797534,0.006700925
186,0.006944157,0.034720786,0.006944157,0.009010871,0.006696152
187,0.006898271,0.03507314,0.007022939,0.00930851,0.006690492
188,0.006976938,0.03559492,0.007060495,0.00910762,0.006768048
189,0.006971861,0.036245275,0.007223856,0.009239815,0.006803864
190,0.007093397,0.0364381,0.007093397,0.009373416,0.006840061
191,0.00717287,0.036755655,0.00717287,0.008828148,0.006960655
192,0.007125485,0.036566112,0.007253488,0.009002859,0.006997482
193,0.007119575,0.03697032,0.007248242,0.009178246,0.006990908
194,0.007199517,0.037420243,0.007415072,0.009355061,0.006983963
195,0.007279976,0.03787321,0.007453308,0.009663302,0.007149976
196,0.007360948,0.038198527,0.007535171,0.009582299,0.006925389
197,0.007267315,0.03874442,0.007661326,0.010725856,0.007311094
198,0.008008096,0.039512474,0.007656092,0.009768117,0.007260087
199,0.007429355,0.039004114,0.007606244,0.009950029,0.007385132
200,0.007511111,0.03942222,0.007911111,0.009866667,0.0072
201,0.007593354,0.039932106,0.007772021,0.010094694,0.007325353
202,0.0075863,0.040310632,0.007990303,0.010100103,0.007361853
203,0.007578834,0.040555783,0.008029955,0.010195335,0.007533721
204,0.007706605,0.041117005,0.008250601,0.010154585,0.007298608
205,0.007698966,0.04136486,0.008063414,0.010250103,0.007516742
206,0.007919795,0.04156748,0.008377587,0.01034609,0.007370445
207,0.007866047,0.042090252,0.00837205,0.01012006,0.007820047
208,0.008181188,0.04224636,0.008504738,0.010307373,0.007534088
209,0.007849148,0.042775534,0.008313594,0.010124936,0.00757048
210,0.008493164,0.043259136,0.008539829,0.010919781,0.007699846
211,0.008018006,0.04355981,0.00867445,0.01083134,0.007689783
212,0.008009045,0.04357863,0.008527278,0.010694431,0.007679261
213,0.008188574,0.0443035,0.0088039,0.010981209,0.008141241
214,0.008322237,0.04451208,0.008892905,0.010747574,0.007751569
215,0.008170091,0.04538939,0.0090301,0.01075012,0.007835642
216,0.008255736,0.045214552,0.008975713,0.011039646,0.007967745
217,0.008294353,0.045860056,0.009210589,0.011091286,0.00790857
218,0.008235636,0.045877337,0.0090592,0.011433001,0.008187192
219,0.008321978,0.046184544,0.009100642,0.011290637,0.008029979
220,0.008359814,0.0464923,0.009288683,0.011293083,0.007968712
221,0.008348885,0.046753757,0.009134662,0.011148217,0.008005108
222,0.008485447,0.047853973,0.009225456,0.011198816,0.008337445
223,0.008672382,0.0474751,0.009564399,0.011100649,0.008176818
224,0.008412564,0.048135795,0.009507691,0.010702374,0.008263228
225,0.0086,0.0485,0.00945,0.01085,0.0086
226,0.008939782,0.049319472,0.009642911,0.011551403,0.00848777
227,0.008827684,0.0492837,0.010189669,0.011753431,0.008323245
228,0.008663931,0.04950094,0.009930587,0.011754572,0.008258601
229,0.00865096,0.049921125,0.009770495,0.011755127,0.008345631
230,0.008892978,0.050189104,0.009915159,0.011703976,0.008637432
231,0.008931779,0.05087008,0.010112417,0.011857707,0.008675119
232,0.008867808,0.051660135,0.010362961,0.012012786,0.008610022
233,0.009060785,0.051465258,0.010355183,0.012063788,0.008594802
234,0.008891894,0.05184338,0.010347876,0.012219854,0.008579897
235,0.009086637,0.052326493,0.010235521,0.012011071,0.00866886
236,0.00917768,0.052443884,0.010279002,0.01200965,0.008758129
237,0.009321677,0.053454813,0.010532968,0.012112914,0.008953023
238,0.009202454,0.05373387,0.010577533,0.012375714,0.008990903
239,0.008975993,0.053802848,0.010888039,0.012109624,0.00913533
240,0.00912,0.054346666,0.01088,0.012213334,0.008906667
241,0.00926521,0.054520138,0.011032562,0.012157241,0.008783205
242,0.009142242,0.055283677,0.011185803,0.012476472,0.008980908
243,0.009557752,0.055294562,0.010799719,0.01231168,0.009125763
244,0.009489209,0.055905,0.011224379,0.012525757,0.008946969
245,0.00974521,0.056184668,0.011160715,0.012630662,0.009091899
246,0.009785164,0.05745367,0.011097141,0.012791778,0.009457169
247,0.010045011,0.057086397,0.011527061,0.012624877,0.009166759
248,0.009699642,0.05781207,0.011408102,0.012785891,0.009864977
249,0.00996016,0.05931828,0.011564852,0.01272687,0.00957282
250,0.009833333,0.059055556,0.011722222,0.013,0.009333333
251,0.009705489,0.059348505,0.011936636,0.013275323,0.009817046
252,0.01002408,0.06003248,0.012096097,0.014896119,0.009800078
253,0.009782976,0.060159676,0.011975711,0.013212639,0.009670528
254,0.009821076,0.0609584,0.012022352,0.013264096,0.009933962
255,0.010256701,0.060973536,0.01207004,0.01297671,0.009803366
256,0.010410741,0.062350664,0.012060531,0.01291387,0.009784958
257,0.01022273,0.06207881,0.012164477,0.013135351,0.009651627
258,0.010377251,0.0624355,0.012211902,0.013243894,0.00997592
259,0.01018705,0.062906474,0.013122303,0.013640287,0.009899281
260,0.010169296,0.06274918,0.01265384,0.013867222,0.009938175
261,0.010439624,0.063275725,0.012643545,0.013861501,0.009975641
262,0.010305677,0.063871905,0.012751091,0.014206695,0.010131004
263,0.010520164,0.06434833,0.012741087,0.013734658,0.009994156
264,0.010559662,0.064707264,0.012906253,0.013668896,0.010207674
265,0.010482304,0.06513162,0.013308993,0.014133443,0.010128967
266,0.010462849,0.06543713,0.013122894,0.014246025,0.010167288
267,0.01073929,0.06912306,0.016553935,0.015485938,0.011273288
268,0.011017807,0.071943305,0.014114704,0.015246263,0.011136918
269,0.011357523,0.07167195,0.01458545,0.014884332,0.010699982
270,0.011579769,0.07091858,0.014639707,0.014879703,0.010859783
271,0.012466124,0.07208672,0.014333032,0.015236375,0.011081
272,0.011424081,0.07247341,0.014567215,0.03904739,0.011726306
273,0.011829653,0.07206988,0.014256248,0.015408881,0.011344334
274,0.011629323,0.07422065,0.014430102,0.015038967,0.010776912
275,0.011183769,0.0720528,0.014850577,0.015706167,0.011061542
276,0.012266928,0.07390825,0.015149657,0.02152846,0.010794897
277,0.011634349,0.073992,0.014958449,0.016066482,0.011695907
278,0.01186137,0.07530735,0.015444493,0.015876938,0.01155248
279,0.011470023,0.080600165,0.01500403,0.01494203,0.010912022
280,0.011510702,0.073481835,0.015057243,0.015243903,0.011199602
281,0.011427501,0.07455976,0.01467466,0.015299114,0.011365056
282,0.011844331,0.07495143,0.015416431,0.016043115,0.011593658
283,0.011571599,0.07521539,0.014841834,0.015407836,0.011382932
284,0.011864942,0.07598612,0.015146734,0.015777849,0.011296939
285,0.011970359,0.076382294,0.015327127,0.015200456,0.011210336
286,0.01188509,0.07607728,0.015253591,0.015571374,0.011440193
287,0.011735442,0.07628038,0.015434658,0.014988201,0.011225206
288,0.01184,0.076608,0.015488,0.014912,0.01152
289,0.011752617,0.07706634,0.015541712,0.015284824,0.011945283
290,0.012051298,0.07830122,0.015595798,0.01585358,0.011406845
291,0.011833937,0.078116916,0.015584583,0.015519917,0.01125194
292,0.01213419,0.07909934,0.015897736,0.016351957,0.011744858
293,0.01230629,0.080869906,0.01601771,0.016343273,0.011980726
294,0.012413433,0.07800862,0.015680125,0.01541879,0.01117209
295,0.011537201,0.0862668,0.021370042,0.018551294,0.012717142
296,0.013616629,0.08406789,0.016445205,0.01683989,0.012235233
297,0.012935586,0.08309134,0.017291447,0.01682946,0.012275607
298,0.012846831,0.08608701,0.017680949,0.01695252,0.011919741
299,0.01295681,0.08232558,0.016478404,0.01627907,0.011960133
300,0.012733334,0.0844,0.0178,0.017066667,0.0124
301,0.012642141,0.09070234,0.0180602,0.018862877,0.012642141
302,0.015837863,0.0874438,0.018992014,0.018320918,0.014160124
303,0.013669114,0.091374315,0.01851727,0.01703589,0.013130429
304,0.013308113,0.09180571,0.018509762,0.019455515,0.013713436
305,0.014030093,0.093195066,0.018300122,0.018706791,0.012810085
306,0.013327894,0.092955254,0.022303822,0.018971847,0.014007888
307,0.014121981,0.09066721,0.01821531,0.017533088,0.012689317
308,0.012867899,0.08850103,0.018001368,0.017522246,0.012457221
309,0.013527432,0.09242601,0.01963881,0.017990798,0.013252764
310,0.014190259,0.097885236,0.017841151,0.016670112,0.013294758
311,0.015756737,0.09295093,0.018590186,0.016655149,0.012232205
312,0.013034736,0.09415517,0.019690773,0.017541427,0.011994731
313,0.013632886,0.10029909,0.019266885,0.017736662,0.01418933
314,0.01339753,0.08896797,0.01856116,0.018770497,0.013537088
315,0.016169677,0.09659807,0.019879602,0.018199636,0.013089738
316,0.014466292,0.09283708,0.018679775,0.017345505,0.012710674
317,0.013173653,0.09665375,0.019443465,0.017330045,0.012821416
318,0.013921278,0.09575295,0.018655926,0.017666597,0.01328528
319,0.013398554,0.09400255,0.022827165,0.016801361,0.012760527
320,0.013937282,0.0935789,0.0190571,0.0165683,0.012728436
321,0.01376703,0.093658604,0.018546259,0.016905628,0.012839718
322,0.013738819,0.09423971,0.018962434,0.017388193,0.012808587
323,0.013565891,0.09424347,0.019164514,0.017298305,0.012919896
324,0.013679891,0.095327236,0.019151846,0.01749586,0.012887897
325,0.013650152,0.095334396,0.019283548,0.017405748,0.013000145
326,0.013981455,0.0956969,0.019269777,0.017965807,0.013112142
327,0.013807137,0.096359275,0.019111983,0.017149916,0.012717099
328,0.013484948,0.09403018,0.018806035,0.01712953,0.012756032
329,0.0137447,0.09467758,0.019227957,0.017327094,0.012721158
330,0.013787034,0.095629215,0.019213846,0.017527133,0.013273687
331,0.013460831,0.09591762,0.019418905,0.017579993,0.012798823
332,0.013501549,0.095986426,0.019698981,0.017559392,0.013132654
333,0.013689507,0.09775048,0.019683292,0.017463371,0.012949534
334,0.013434276,0.09782528,0.01974319,0.018036073,0.012988941
335,0.013548723,0.097595476,0.019727537,0.017345343,0.012878732
336,0.013814217,0.09819295,0.019713262,0.017323775,0.013142174
337,0.014079233,0.09967797,0.019695949,0.01782371,0.013105669
338,0.013595734,0.10072861,0.019755127,0.01765192,0.013069931
339,0.014086629,0.09943503,0.0206403,0.018079096,0.013483993
340,0.013902531,0.10109558,0.020173782,0.018058179,0.013298073
341,0.014095181,0.10131858,0.020460745,0.018035768,0.013792058
342,0.013983889,0.10138319,0.020823833,0.018163854,0.013451892
343,0.014253049,0.10175305,0.02057927,0.017987804,0.013643293
344,0.014142649,0.1025151,0.020640625,0.018041434,0.013454629
345,0.014413862,0.103120446,0.02062409,0.018017327,0.013417158
346,0.014302191,0.10511342,0.021068819,0.018146867,0.01361015
347,0.014573213,0.10394017,0.021127304,0.018351454,0.013570823
348,0.014229371,0.10478695,0.02142139,0.018637383,0.013842704
349,0.01450287,0.10617341,0.021793082,0.018690864,0.013727315
350,0.014389048,0.10609007,0.021622462,0.018589096,0.013689041
351,0.015131425,0.10771391,0.021605179,0.018251307,0.014195461
352,0.014862328,0.10739987,0.022058824,0.0185388,0.014236546
353,0.014668968,0.10817383,0.02157201,0.01835582,0.014119862
354,0.014867841,0.10785085,0.021711769,0.019351793,0.014159849
355,0.014831177,0.10878826,0.021536762,0.01853897,0.014357842
356,0.015110759,0.10893987,0.021914557,0.018908229,0.013844937
357,0.014914717,0.10940103,0.022451408,0.018881395,0.013804046
358,0.015194909,0.110898964,0.022434367,0.019252189,0.014081146
359,0.014918229,0.112165935,0.022576785,0.01914639,0.014519346
360,0.01496,0.11216,0.02264,0.0192,0.01432
361,0.015403129,0.111672685,0.022462897,0.019093461,0.014440433
362,0.015203926,0.11262167,0.022604778,0.019226128,0.014158153
363,0.015406953,0.11365653,0.022828104,0.019440187,0.014277648
364,0.015044892,0.114373535,0.023052657,0.019898083,0.014559573
365,0.015248601,0.11412118,0.02335956,0.019628517,0.014599725
366,0.015534771,0.11565677,0.023180155,0.019194795,0.014640098
367,0.01541473,0.11540657,0.023244433,0.0194927,0.014680695
368,0.01553811,0.11637226,0.024288518,0.019954203,0.014556755
369,0.015416154,0.1198032,0.023862239,0.019598195,0.015252152
370,0.015704654,0.117497124,0.023515869,0.019486926,0.014635751
371,0.015663644,0.11797197,0.023660347,0.019868096,0.01450948
372,0.015873017,0.11789021,0.02414021,0.020006614,0.015046297
373,0.015500663,0.1193634,0.024121353,0.02055703,0.015500663
374,0.016040558,0.12009641,0.023936171,0.019614361,0.014710771
375,0.015583334,0.12083333,0.024583334,0.02,0.015166666
376,0.015708556,0.12065508,0.02473262,0.019886363,0.015374332
377,0.01616957,0.120894775,0.024212467,0.02019102,0.014829089
378,0.015875682,0.12154557,0.025703486,0.020327594,0.015791684
379,0.01608692,0.12322076,0.025351638,0.020045482,0.016339594
380,0.016720148,0.124978885,0.025080223,0.020520182,0.015031245
